Step,Time[s],Residual-term,Normalization-term,Orthogonalization-term,e0,e1,e2,e3,e4
0,2.05,7.5003e+03,1.4385e-04,4.1533e-03,33.50691605,34.61250305,35.47711182,40.84411621,50.32458115
100,35.64,4.0815e+02,4.3526e-02,2.6344e-02,9.79111671,10.9983263,12.19865131,12.25700378,12.59647369
200,69.30,2.7244e+02,7.4224e-02,1.9478e-02,7.82569742,10.11670589,11.22627449,11.3651638,11.43944073
300,105.18,2.1639e+02,9.4589e-02,1.2425e-02,7.09342194,9.49628544,10.4917326,10.50734043,10.6038723
400,138.99,1.7223e+02,1.1601e-01,9.7636e-03,6.41040325,9.00413895,9.85122776,10.02074146,10.09241199
500,172.74,1.5251e+02,1.3752e-01,6.7976e-03,5.99004126,8.5695858,9.50495148,9.58910179,9.75817013
600,206.46,1.3211e+02,1.3604e-01,4.1699e-03,5.69672489,8.32941055,9.04648781,9.24880886,9.35141659
700,239.82,1.1820e+02,1.5006e-01,4.1369e-03,5.45514631,8.06483936,8.84039593,8.86592865,9.00487614
800,273.75,1.0296e+02,1.5116e-01,3.7755e-03,5.27428055,7.90627909,8.50389957,8.59543896,8.73502827
900,307.22,9.8914e+01,1.5930e-01,2.7164e-03,5.10750103,7.70082712,8.33153629,8.37208652,8.45665836
1000,340.71,8.6837e+01,1.5122e-01,1.9638e-03,4.96050692,7.54690886,8.15408039,8.16432381,8.181036
1100,373.97,8.1169e+01,1.5262e-01,2.8639e-03,4.8255825,7.37838459,7.93874025,7.97950029,7.98232317
1200,407.53,7.4707e+01,1.6496e-01,2.6249e-03,4.64527416,7.26525831,7.78789854,7.83115482,7.84421873
1300,440.97,6.9432e+01,1.5339e-01,2.6262e-03,4.58853579,7.10519075,7.61156082,7.6346283,7.67192507
1400,474.44,6.5303e+01,1.5932e-01,3.0847e-03,4.45332003,6.98163891,7.47963047,7.51576519,7.58723688
1500,507.94,6.2880e+01,1.5964e-01,1.8751e-03,4.35310841,6.88290548,7.35289478,7.38943434,7.41504526
1600,541.45,5.9121e+01,1.6120e-01,1.5175e-03,4.26868343,6.78739214,7.23377466,7.30470657,7.3119998
1700,574.96,5.4868e+01,1.6732e-01,1.5956e-03,4.20771217,6.63507318,7.09165478,7.18378639,7.21976328
1800,608.43,5.3034e+01,1.6721e-01,2.1134e-03,4.09846544,6.584764,7.03181982,7.09749508,7.13990879
1900,642.01,4.9024e+01,1.6971e-01,1.3636e-03,4.05913019,6.48015022,6.87808371,7.02742147,7.04990864
2000,675.71,4.7172e+01,1.7571e-01,1.4758e-03,3.96089125,6.36848211,6.80034208,6.92521286,6.93486881
2100,709.32,4.6152e+01,1.7073e-01,1.5595e-03,3.92520261,6.30694008,6.69217443,6.81751871,6.87736511
2200,742.87,4.2938e+01,1.6183e-01,1.0138e-03,3.8928721,6.1880722,6.52897549,6.75054502,6.79074097
2300,776.44,4.1840e+01,1.7337e-01,8.3063e-04,3.82868361,6.11622143,6.45882511,6.63093853,6.76996899
2400,809.96,3.8825e+01,1.5857e-01,1.4003e-03,3.78131485,6.04980612,6.39040613,6.61451292,6.64670658
2500,843.52,3.7656e+01,1.6246e-01,1.0752e-03,3.75427103,5.97995901,6.28522015,6.48245382,6.57826853
2600,877.21,3.6336e+01,1.6448e-01,7.9299e-04,3.65829921,5.94077253,6.20342493,6.45710707,6.54078388
2700,910.69,3.4592e+01,1.5568e-01,1.0164e-03,3.6786406,5.85739803,6.09491682,6.36786413,6.48578596
2800,944.27,3.1486e+01,1.5925e-01,1.6373e-03,3.63206267,5.78506374,6.04440737,6.27860928,6.42317247
2900,977.74,3.1170e+01,1.6445e-01,7.0821e-04,3.61465669,5.70933962,5.93390894,6.21702337,6.35872841
3000,1011.27,3.1474e+01,1.4531e-01,8.7139e-04,3.59745526,5.64663076,5.82910967,6.14431763,6.31677675
3100,1044.86,2.9535e+01,1.4754e-01,6.8088e-04,3.54298162,5.63378143,5.7601409,6.11660433,6.23915386
3200,1078.27,2.8215e+01,1.4960e-01,7.0979e-04,3.54165244,5.59059525,5.66682434,5.98437786,6.20833445
3300,1111.64,2.7251e+01,1.4368e-01,2.7533e-04,3.49342632,5.51897335,5.60156012,5.92195654,6.14739466
3400,1145.10,2.6360e+01,1.4069e-01,5.9542e-04,3.48147678,5.45668077,5.56841946,5.8449297,6.0974803
3500,1178.57,2.6482e+01,1.3425e-01,4.2197e-04,3.49732971,5.41445923,5.50450563,5.82007217,6.08282185
3600,1212.22,2.5024e+01,1.4652e-01,8.9130e-04,3.47476411,5.39632654,5.43302011,5.72070312,6.04821491
3700,1245.82,2.3419e+01,1.3026e-01,7.4821e-04,3.43518305,5.26161289,5.37518358,5.66426992,5.99038458
3800,1279.26,2.2632e+01,1.3172e-01,4.0026e-04,3.4411149,5.19918728,5.26810789,5.5987854,5.94470501
3900,1312.82,2.2074e+01,1.2619e-01,5.1314e-04,3.41755056,5.09826136,5.20262909,5.51997042,5.89070082
4000,1346.38,2.1264e+01,1.0548e-01,4.5116e-04,3.40832949,5.07354593,5.11989689,5.4533124,5.83469534
4100,1379.87,2.1281e+01,1.1179e-01,3.9600e-04,3.41787887,4.99134302,5.00571203,5.39551401,5.82256699
4200,1413.33,1.9625e+01,1.0210e-01,9.0894e-04,3.40241551,4.92460251,4.94683599,5.33079767,5.77675247
4300,1446.87,1.9567e+01,1.1083e-01,6.1231e-04,3.38723612,4.87108469,4.88291407,5.24480152,5.72337961
4400,1480.39,1.8440e+01,9.6892e-02,4.3024e-04,3.37601852,4.80728102,4.81049633,5.19942331,5.64032173
4500,1513.81,1.7861e+01,8.8996e-02,1.1490e-03,3.37742853,4.78257322,4.81856966,5.13530684,5.59662247
4600,1547.28,1.7753e+01,8.6277e-02,7.3187e-04,3.35532069,4.72610426,4.74683762,5.07240772,5.54336596
